word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),sim2W100S,sim10W100S,sim2W1000S,sim10W1000S
door,floor,N,1.67,4.81,4.8,4,0.21,0,0.39,0.68384993,0.66686904,0.7007101,0.7050954
shoulder,head,N,3.42,4.93,4.75,4,0.21,0,1.14,0.5136883,0.61138153,0.5001354,0.5606239
wagon,carriage,N,7.7,4.89,4.86,4,0.21,0,1.84,0.78087544,0.7029869,0.7126515,0.7223953
car,carriage,N,5.13,4.89,4.86,4,0.21,0,1.2,0.7373119,0.74366283,0.6939813,0.7252281
elbow,ankle,N,3.13,5,4.81,4,0.21,0,1.48,0.7947028,0.8156071,0.7579688,0.76663625
wealth,fame,N,4.02,2.63,1.96,1,0.2,0,1.1,0.63189834,0.46942577,0.5671881,0.41961867
sorrow,shame,N,4.77,2.36,2.24,1,0.2,0,1.52,0.734678,0.74205685,0.7148489,0.69964015
administration,management,N,7.25,2.78,2.72,2,0.2,0,1.67,0.5421801,0.5307064,0.50718015,0.5103128
communication,conversation,N,8.02,2.9,3.28,2,0.2,0,0.88,0.40891716,0.19193248,0.38198537,0.17244351
pollution,atmosphere,N,4.25,3.75,3.04,2,0.2,0,0.98,0.52835685,0.5546574,0.49860743,0.47376698
anatomy,biology,N,5.33,3.59,3.48,2,0.2,0,1.37,0.7796187,0.8519746,0.75173306,0.78860974
college,profession,N,3.12,4.62,2.83,3,0.2,0,1.41,0.56925094,0.5993922,0.54697126,0.60134476
book,topic,N,2.07,4.9,2.59,3,0.2,0,1.22,0.49543387,0.4763463,0.44963226,0.4499975
formula,equation,N,7.95,4.11,3.65,3,0.2,0,0.56,0.84452677,0.87074125,0.8376775,0.8612947
book,information,N,5,4.9,2.87,3,0.2,0,1.13,0.25491062,0.14879876,0.28960094,0.15048231
boy,partner,N,1.9,4.76,3.53,3,0.2,0,1.54,0.36008397,0.3209545,0.35449487,0.33073854
sky,universe,N,4.68,4.45,3.85,3,0.2,0,1.39,0.55501425,0.49615029,0.5423241,0.48788866
population,people,N,7.68,3.64,4.82,3,0.2,0,0.8,0.54141814,0.5228594,0.49619853,0.4784689
college,class,N,4.13,4.62,3.85,3,0.2,0,1.16,0.31700963,0.2649453,0.24297507,0.2667719
chief,mayor,N,4.85,4.26,4.37,3,0.2,0,1.25,0.5675084,0.6021462,0.55231625,0.60667604
rabbi,minister,N,7.62,4.64,4.22,3,0.2,0,1.35,0.5263086,0.48120177,0.5404114,0.33206534
meter,inch,N,5.08,4.7,4.37,3,0.2,0,1.19,0.7614392,0.76022816,0.7994122,0.75683296
polyester,cotton,N,5.63,4.12,4.97,3,0.2,0,1.53,0.6363104,0.52398705,0.5975505,0.5865355
lawyer,banker,N,1.88,4.7,4.43,3,0.2,0,1.18,0.6944342,0.62242013,0.586525,0.6477244
violin,instrument,N,6.58,4.96,4.27,3,0.2,0,1.39,0.61141974,0.6839448,0.56734544,0.7102138
camp,cabin,N,4.2,4.35,4.92,3,0.2,0,1.2,0.47773096,0.3291256,0.45372787,0.33848652
pot,appliance,N,2.53,4.81,4.57,3,0.2,0,1.26,0.3622653,0.30606532,0.3629825,0.42113099
linen,fabric,N,7.47,4.8,4.63,3,0.2,0,1.26,0.5717331,0.64410204,0.6070668,0.6487551
whiskey,champagne,N,5.33,4.74,4.82,4,0.2,0,1.29,0.63705593,0.5750163,0.7516232,0.6758894
girl,child,N,5.38,4.85,4.78,4,0.2,0,1.21,0.60642445,0.66429067,0.5813992,0.66177225
cottage,cabin,N,7.72,4.85,4.92,4,0.2,0,1.47,0.5022691,0.56208414,0.468255,0.5064656
bird,hen,N,7.03,5,4.9,4,0.2,0,1.43,0.25862217,0.3542391,0.29973447,0.3013475
racket,noise,N,8.1,4.26,3.52,3,0.19,0,1.49,0.35519278,0.37635028,0.37927535,0.45075315
sunset,evening,N,5.98,4.54,3.26,3,0.19,0,1.35,0.6023981,0.5863717,0.6072971,0.5639536
drizzle,rain,N,9.17,4.21,4.97,3,0.19,0,0.39,0.3783843,0.6262217,0.36662441,0.54466504
adult,baby,N,2.22,4.4,5,3,0.19,0,0.39,0.4446535,0.48000088,0.3714562,0.42814144
charcoal,coal,N,7.63,4.85,4.66,4,0.19,0,1.43,0.64489317,0.6841526,0.69817036,0.7211775
body,spine,N,4.78,4.79,4.88,4,0.19,0,1.22,0.54890865,0.5564493,0.50845695,0.5347492
head,nail,N,2.47,4.75,4.93,4,0.19,0,1.4,0.33882222,0.43081886,0.35788873,0.43016732
log,timber,N,8.05,4.96,4.9,4,0.19,0,1.12,0.19713916,0.16863607,0.24715412,0.16251753
spoon,cup,N,2.02,4.96,5,4,0.19,0,0.9,0.47748628,0.5274837,0.44973806,0.48346975
body,nerve,N,3.13,4.79,3.89,3,0.18,0,1.12,0.3784305,0.5062497,0.35434604,0.5382626
man,husband,N,5.32,4.79,4.11,3,0.18,0,1.71,0.5336325,0.48358622,0.4558663,0.448293
bone,neck,N,2.53,4.9,5,4,0.18,0,1.05,0.6682344,0.71425325,0.655731,0.6625572
frustration,anger,N,6.5,2.06,2.41,1,0.17,0,0.39,0.72574574,0.64488983,0.6808311,0.6291187
river,sea,N,5.72,4.89,4.79,4,0.17,0,0.39,0.6940888,0.75428736,0.68056875,0.7557463
task,job,N,8.87,2.84,3.19,2,0.16,0,1.75,0.5702915,0.5101229,0.55743396,0.46209326
club,society,N,5.23,3.78,2.54,2,0.16,0,1.59,0.376304,0.13278496,0.33564886,0.09161301
reflection,image,N,7.27,3.29,3.85,2,0.16,0,1.06,0.44901928,0.45751005,0.41574204,0.46289498
prince,king,N,5.92,4.44,4.1,3,0.16,0,1.05,0.8110651,0.8618564,0.7934607,0.85511583
snow,weather,N,5.48,4.85,3.83,3,0.16,0,1.36,0.6755966,0.72170746,0.6863845,0.7372111
people,party,N,2.2,4.82,3.89,3,0.16,0,1.42,0.28524864,0.24269086,0.28018618,0.23522258
boy,brother,N,6.67,4.76,4.43,3,0.16,0,1.58,0.47032666,0.528627,0.49530435,0.5163621
root,grass,N,3.55,4.34,4.93,3,0.16,0,1.35,0.454095,0.3546312,0.40695822,0.32928294
brow,eye,N,3.82,4.39,4.9,3,0.16,0,1.41,0.38528565,0.47540936,0.37418008,0.44336587
money,pearl,N,2.1,4.54,4.87,3,0.16,0,1.94,-0.014087107,-0.014175549,-0.05780621,-0.05316438
money,diamond,N,3.42,4.54,4.89,3,0.16,0,1.37,0.27857354,0.17495835,0.26730403,0.113384545
vehicle,bus,N,6.47,4.64,4.9,4,0.16,0,1.38,0.64426637,0.63630116,0.6568369,0.6222436
cab,bus,N,5.6,4.88,4.9,4,0.16,0,1.64,0.5398025,0.48096985,0.54405195,0.52120054
house,barn,N,4.33,5,4.79,4,0.16,0,1.6,0.4938577,0.4865714,0.43356752,0.53734803
finger,palm,N,3.33,5,4.83,4,0.16,0,1.5,0.45287916,0.494017,0.44820094,0.45909217
car,bridge,N,0.95,4.89,4.97,4,0.16,0,1.2,0.5872472,0.5011057,0.5731653,0.4936322
effort,difficulty,N,4.45,2.33,1.9,1,0.15,0,1.22,0.47926983,0.2898711,0.48074123,0.30913767
fact,insight,N,4.77,2.72,1.72,1,0.15,0,1.11,0.21302266,0.124517485,0.21121334,0.15120634
job,management,N,3.97,3.19,2.72,2,0.15,0,1.33,0.47708142,0.5588915,0.46897525,0.49250343
cancer,sickness,N,7.93,3.86,3.45,2,0.15,0,1.57,0.668823,0.65209144,0.6668306,0.6260823
word,newspaper,N,2.47,3.56,4.82,3,0.15,0,0.94,0.16585673,0.18291137,0.11592452,0.14485407
composer,writer,N,6.58,4.37,4.32,3,0.15,0,0.8,0.86555845,0.787048,0.8429596,0.75710505
actor,singer,N,4.52,4.57,4.62,3,0.15,0,1.26,0.7439462,0.75087595,0.7588262,0.74756813
shelter,hut,N,6.47,4.64,4.65,3,0.15,0,1.59,0.5042962,0.33746487,0.41103855,0.32850853
bathroom,kitchen,N,3.1,4.52,4.97,4,0.15,0,1.22,0.63985914,0.5968612,0.7016604,0.5945761
cabin,hut,N,6.53,4.92,4.65,4,0.15,0,1.37,0.588067,0.5571907,0.6094514,0.5530109
door,kitchen,N,1.67,4.81,4.97,4,0.15,0,0.44,0.5893202,0.5557661,0.57976234,0.5581804
value,belief,N,7.07,1.62,1.19,1,0.14,0,0.95,0.36574787,0.28847522,0.35068306,0.26942337
wisdom,intelligence,N,7.47,1.53,2.24,1,0.14,0,1.33,0.44988245,0.29286903,0.4613909,0.22104467
ignorance,intelligence,N,1.5,1.6,2.24,1,0.14,0,1.3,0.41646117,0.3575293,0.41435263,0.34799966
happiness,luck,N,2.38,2.6,1.33,1,0.14,0,1.2,0.7300441,0.61220497,0.68151337,0.59563404
idea,scheme,N,6.75,1.61,2.41,1,0.14,0,1.47,0.4719264,0.3704981,0.45846143,0.32625294
mood,emotion,N,8.12,1.75,2.44,1,0.14,0,1.64,0.75615853,0.72884214,0.70547694,0.69916797
happiness,peace,N,6.03,2.6,1.62,1,0.14,0,1.35,0.498501,0.4212571,0.4965169,0.45363253
despair,misery,N,7.22,2.21,2.04,1,0.14,0,1.06,0.601718,0.5887056,0.647303,0.62171835
logic,arithmetic,N,3.97,1.72,2.74,1,0.14,0,1.81,0.74625945,0.73805887,0.7338722,0.75808656
denial,confession,N,1.03,2.46,2.4,1,0.14,0,1.64,0.6504527,0.5441852,0.6536202,0.52232504
argument,criticism,N,5.08,2.85,2.07,1,0.14,0,1.07,0.5627648,0.56644434,0.56394446,0.5406068
aggression,hostility,N,8.48,2.68,2.24,1,0.14,0,0.44,0.64017874,0.52190274,0.6036429,0.5247501
hysteria,confusion,N,6.33,2.86,2.24,1,0.14,0,0.44,0.42501405,0.28741086,0.47468132,0.16742076
chemistry,theory,N,3.17,3.64,1.47,1,0.14,0,1.4,0.56644714,0.58754647,0.5185246,0.56490046
trial,verdict,N,3.33,3.07,2.19,2,0.14,0,1.18,0.7127464,0.8245202,0.6861852,0.73496187
comfort,safety,N,5.8,2.89,2.37,2,0.14,0,1.21,0.5945241,0.5063319,0.617904,0.521806
confidence,self,N,3.12,2.17,3.1,2,0.14,0,1.24,0.3797021,0.32767454,0.33247802,0.34375438
vision,perception,N,6.88,3.39,2,2,0.14,0,1.31,0.72589636,0.77541417,0.68880004,0.7601574
era,decade,N,5.4,2.24,3.19,2,0.14,0,1.02,0.5231946,0.5387821,0.51235116,0.52647984
biography,fiction,N,1.38,3.39,2.14,2,0.14,0,1.24,0.5361064,0.44479004,0.52450836,0.46998864
discussion,argument,N,5.48,3.07,2.85,2,0.14,0,1.43,0.5503058,0.5849396,0.5432015,0.55970913
code,symbol,N,6.03,3,3.11,2,0.14,0,1.67,0.41496462,0.26914653,0.39146778,0.3162105
danger,disease,N,3,2.68,3.45,2,0.14,0,0.44,0.5171072,0.44600922,0.5171041,0.46195883
accident,catastrophe,N,5.9,3.26,2.96,2,0.14,0,1.63,0.5365276,0.29730925,0.4934523,0.26126847
journey,trip,N,8.88,2.57,3.71,2,0.14,0,1.14,0.8574805,0.83649886,0.8429338,0.8047679
activity,movement,N,7.15,2.72,3.63,2,0.14,0,1.1,0.5293286,0.40791202,0.4860291,0.39122358
gossip,news,N,5.22,3,3.41,2,0.14,0,1.21,0.39299268,0.46048313,0.37800157,0.46397686
father,god,N,3.57,4.52,2.07,2,0.14,0,1.31,0.4749636,0.4573402,0.47213894,0.38562816
action,course,N,5.45,2.86,3.82,2,0.14,0,1.75,0.4586546,0.39292008,0.42798617,0.33977342
fever,illness,N,7.65,3.27,3.54,2,0.14,0,1.54,0.62321085,0.7087389,0.61870664,0.6685187
aviation,flight,N,8.18,3.39,3.9,2,0.14,0,1.83,0.37504417,0.3972786,0.33860588,0.4274487
game,action,N,4.85,4.5,2.86,2,0.14,0,1.12,0.40501952,0.34523994,0.36296445,0.3279362
molecule,air,N,3.05,3.27,4.11,2,0.14,0,1.84,0.27343017,0.30028182,0.2766719,0.2780935
home,state,N,2.58,4.11,3.52,3,0.14,0,1.6,0.18389674,0.05704211,0.13831279,0.07896121
word,literature,N,4.77,3.56,4.1,3,0.14,0,0.59,0.41125962,0.37183616,0.38718936,0.35283098
adult,guardian,N,6.9,4.4,3.28,3,0.14,0,1.19,0.29832727,0.12433846,0.25999132,0.116316155
newspaper,information,N,5.65,4.82,2.87,3,0.14,0,1.31,0.12420851,0.055053823,0.09959049,0.03145948
communication,television,N,5.6,2.9,4.83,3,0.14,0,1.27,0.3256944,0.3090626,0.29286104,0.29662654
cousin,uncle,N,4.63,3.7,4.24,3,0.14,0,1.84,0.8079721,0.86848027,0.7911328,0.8421447
author,reader,N,1.6,4.26,3.89,3,0.14,0,1.47,0.39983973,0.49991825,0.429864,0.4627771
guy,partner,N,3.57,4.68,3.53,3,0.14,0,1.24,0.33153337,0.301446,0.4031127,0.20981658
area,corner,N,2.07,3.72,4.61,3,0.14,0,1.41,0.4767854,0.47299603,0.4608055,0.46340543
ballad,song,N,7.53,3.88,4.46,3,0.14,0,0.84,0.61127317,0.7080275,0.6046372,0.66796076
wall,decoration,N,2.62,4.86,3.53,3,0.14,0,0.89,0.39406437,0.464961,0.39090607,0.37755844
word,page,N,2.92,3.56,4.9,3,0.14,0,0.99,0.2918604,0.2530528,0.28028357,0.1937022
nurse,scientist,N,2.08,4.39,4.24,3,0.14,0,1.06,0.53072816,0.4642871,0.55445635,0.44007218
politician,president,N,7.38,4.33,4.4,3,0.14,0,1.05,0.5406897,0.6327039,0.5526724,0.57001984
president,mayor,N,5.68,4.4,4.37,3,0.14,0,1.4,0.7963104,0.7573867,0.772366,0.7508239
book,essay,N,4.72,4.9,3.97,3,0.14,0,1.3,0.78920066,0.79924184,0.72109807,0.77013403
man,warrior,N,4.72,4.79,4.17,3,0.14,0,1.03,0.6720657,0.6381531,0.56690145,0.6207236
article,journal,N,6.18,4.33,4.63,3,0.14,0,1.45,0.55534935,0.6075544,0.5406625,0.6082134
breakfast,supper,N,4.4,4.43,4.63,3,0.14,0,1.47,0.6137721,0.7062227,0.6291445,0.6470823
crowd,parade,N,3.93,4.52,4.54,3,0.14,0,1.05,0.42480096,0.55348253,0.43144375,0.52667826
aisle,hallway,N,6.75,4.35,4.74,3,0.14,0,1.36,0,0,0,0
teacher,rabbi,N,4.37,4.52,4.64,3,0.14,0,1.12,0.5816807,0.54556197,0.56130046,0.49316916
hip,lip,N,1.43,4.21,4.96,3,0.14,0,1.45,0.36248836,0.27877784,0.3731427,0.25518185
book,article,N,5.43,4.9,4.33,3,0.14,0,0.95,0.7205737,0.6960801,0.6908065,0.6448415
room,cell,N,4.58,4.79,4.44,3,0.14,0,1.28,0.3774756,0.30526543,0.37018567,0.2675055
box,booth,N,3.8,4.9,4.42,3,0.14,0,1.38,0.5444523,0.43308318,0.562488,0.47939947
daughter,kid,N,4.17,4.79,4.56,3,0.14,0,1.24,0.4824565,0.46663922,0.516042,0.42768756
limb,leg,N,6.9,4.64,4.83,4,0.14,0,1.23,0.60206616,0.59210384,0.57517475,0.5836109
liver,lung,N,2.7,4.68,4.82,4,0.14,0,1.38,0.8405042,0.7699625,0.7959904,0.7852681
classroom,hallway,N,2,4.76,4.74,4,0.14,0,1.23,0,0,0,0
mountain,ledge,N,3.73,4.96,4.72,4,0.14,0,1.21,0.41785735,0.43228805,0.4230145,0.37906206
car,elevator,N,1.03,4.89,4.79,4,0.14,0,1.19,0.48801288,0.6443849,0.48817074,0.58808464
bed,couch,N,3.42,5,4.71,4,0.14,0,1.85,0.5361131,0.5492669,0.50575024,0.51252776
clothes,button,N,2.3,4.76,4.96,4,0.14,0,1.44,0.41543093,0.2820301,0.41710478,0.27794328
clothes,coat,N,5.35,4.76,4.97,4,0.14,0,1.37,0.62520856,0.6032781,0.5955449,0.58253425
kidney,organ,N,6.17,4.96,4.77,4,0.14,0,0.95,0.29234058,0.3183536,0.30989906,0.3507287
apple,sauce,N,1.43,5,4.75,4,0.14,0,2.11,0.5610617,0.51934725,0.54478973,0.54328173
chicken,steak,N,3.73,4.8,4.96,4,0.14,0,1.39,0.69829077,0.7665438,0.7093394,0.7659691
car,hose,N,0.87,4.89,4.87,4,0.14,0,0.78,0.40848,0.3687637,0.41176644,0.40218815
tobacco,cigarette,N,7.5,4.88,4.88,4,0.14,0,1.49,0.5616858,0.46611097,0.50861615,0.38418627
student,professor,N,1.95,4.92,4.86,4,0.14,0,1.13,0.6612583,0.7369528,0.6420795,0.70264435
baby,daughter,N,5,5,4.79,4,0.14,0,1.29,0.5822377,0.58832943,0.582637,0.5585823
pipe,cigar,N,6.03,4.88,4.93,4,0.14,0,1.01,0.48858625,0.32523543,0.45724702,0.25788832
milk,juice,N,4.05,4.92,4.89,4,0.14,0,1.46,0.82436,0.90585786,0.81520474,0.8889441
box,cigar,N,1.25,4.9,4.93,4,0.14,0,1.89,0.27621925,0.12234067,0.24983719,0.20558913
apartment,hotel,N,3.33,4.9,4.93,4,0.14,0,1.18,0.70048404,0.689365,0.65713024,0.66580045
cup,cone,N,3.17,5,4.86,4,0.14,0,1.13,0.4123233,0.31963882,0.40728822,0.36022264
horse,ox,N,3.02,5,4.86,4,0.14,0,1.18,0.2856522,0.45470878,0.28499535,0.43537036
throat,nose,N,2.8,4.97,4.89,4,0.14,0,1.12,0.77496594,0.7443293,0.80818355,0.7186941
bone,teeth,N,4.17,4.9,4.96,4,0.14,0,1.92,0.61486435,0.7676324,0.64055455,0.7618416
bone,elbow,N,3.78,4.9,5,4,0.14,0,1.58,0.52528703,0.49342826,0.4984853,0.4389618
bacon,bean,N,1.22,4.9,5,4,0.14,0,0.92,0.7754277,0.7582305,0.79091054,0.7788155
cup,jar,N,5.13,5,5,4,0.14,0,1.17,0.45018262,0.4606245,0.4217678,0.4350039
proof,fact,N,7.3,2.67,2.72,2,0.13,0,1.7,0.47592863,0.43449524,0.4566657,0.43274674
appointment,engagement,N,6.75,3,2.75,2,0.13,0,1.59,0.5663056,0.3673786,0.5027486,0.4179806
birthday,year,N,1.67,3.2,3.25,2,0.13,0,1.69,0.4764291,0.48661274,0.47172976,0.451213
word,clue,N,2.53,3.56,2.93,2,0.13,0,1.65,0.15523794,0.2295038,0.20421948,0.19151019
author,creator,N,8.02,4.26,3.07,2,0.13,0,1.5,0.6605279,0.61495596,0.67689866,0.61510485
atom,carbon,N,3.1,3.34,4.22,3,0.13,0,0.93,0.6822431,0.7179148,0.67041594,0.6790952
archbishop,bishop,N,7.05,4.14,4.21,3,0.13,0,1.59,0.7522594,0.81645745,0.75771815,0.80659956
letter,paragraph,N,4,4.7,3.96,3,0.13,0,1.12,0.5104566,0.54295146,0.48157972,0.52761954
page,paragraph,N,3.03,4.9,3.96,3,0.13,0,1.37,0.67414045,0.50177693,0.6674695,0.49423176
steeple,chapel,N,7.08,4.74,4.6,3,0.13,0,1.03,0,0,0,0
muscle,bone,N,3.65,4.5,4.9,3,0.13,0,1.68,0.7205222,0.79541945,0.74559754,0.79594755
muscle,tongue,N,5,4.5,4.93,3,0.13,0,1.65,0.24719067,0.31730637,0.277947,0.28652608
boy,soldier,N,2.15,4.76,4.72,4,0.13,0,1.51,0.641941,0.5543641,0.6259589,0.54064167
belly,abdomen,N,8.13,4.8,4.7,4,0.13,0,1.53,0.76147026,0.72328633,0.77275544,0.75685143
guy,girl,N,3.33,4.68,4.85,4,0.13,0,1.9,0.58377415,0.63153446,0.6037349,0.60311395
bed,chair,N,3.5,5,4.58,4,0.13,0,1.26,0.3866615,0.23450927,0.46273983,0.23269847
clothes,jacket,N,5.15,4.76,4.86,4,0.13,0,0.74,0.6206003,0.6658262,0.59833115,0.63302433
gun,knife,N,3.65,4.83,4.9,4,0.13,0,1.03,0.61317754,0.6081144,0.59775895,0.58067083
tin,metal,N,5.63,4.87,4.87,4,0.13,0,1.15,0.60938627,0.6174946,0.5434579,0.562333
bottle,container,N,7.93,4.91,4.85,4,0.13,0,1.38,0.66717285,0.7347734,0.6251789,0.6689148
hen,turkey,N,6.13,4.9,4.89,4,0.13,0,1.6,0.76262563,0.6998475,0.7084343,0.6516122
meat,bread,N,1.67,4.9,4.92,4,0.13,0,1.62,0.8397166,0.8645886,0.839561,0.81377214
arm,bone,N,3.83,4.96,4.9,4,0.13,0,1.94,0.40039974,0.44483545,0.4033944,0.42775726
neck,spine,N,5.32,5,4.88,4,0.13,0,1.16,0.79929954,0.7902759,0.76601815,0.79765356
apple,lemon,N,4.05,5,5,4,0.13,0,1.58,0.5170164,0.58257544,0.5192176,0.5955617
agony,grief,N,7.63,2.38,2.7,1,0.12,0,1.94,0.590714,0.55752736,0.62661415,0.55927044
assignment,task,N,8.7,3.86,2.84,2,0.12,0,1.37,0.56667423,0.5818987,0.59266555,0.5502141
night,dawn,N,2.95,4.52,4.46,3,0.12,0,1.53,0.6011539,0.5940895,0.53788215,0.5856399
dinner,soup,N,3.72,4.5,4.72,3,0.12,0,1.89,0.2560566,0.23775019,0.25061542,0.23545547
calf,bull,N,4.93,4.48,4.85,3,0.12,0,1.67,0.7001632,0.62034893,0.64746475,0.60494286
snow,storm,N,4.8,4.85,4.7,4,0.12,0,0.88,0.5688957,0.57412326,0.53150237,0.6044965
nail,hand,N,3.42,4.93,4.72,4,0.12,0,1.14,0.35700163,0.38543323,0.3341983,0.33433568
dog,horse,N,2.38,4.85,5,4,0.12,0,1.39,0.8155771,0.8149633,0.7995897,0.77950907
arm,neck,N,1.58,4.96,5,4,0.12,0,0.72,0.7182957,0.7424352,0.72533864,0.7720792
ball,glove,N,1.75,5,4.97,4,0.12,0,1.27,0.41575843,0.5564859,0.37923107,0.53572744
flu,fever,N,6.08,3.65,3.27,2,0.11,0,1.58,0.57090294,0.7156578,0.53159666,0.70098823
fee,salary,N,3.72,3.89,3.69,3,0.11,0,1.26,0.73958826,0.72468317,0.74092793,0.6937596
nerve,brain,N,3.88,3.89,4.69,3,0.11,0,1.74,0.682657,0.78236175,0.698013,0.75310063
beast,animal,N,7.83,4.63,4.61,3,0.11,0,1.64,0.39063513,0.42906642,0.39746058,0.39603743
dinner,chicken,N,2.85,4.5,4.8,3,0.11,0,1.5,0.17857404,0.19615981,0.17979714,0.18927678
girl,maid,N,2.93,4.85,4.64,4,0.11,0,0.9,0.5573117,0.66502243,0.49812868,0.58627814
child,boy,N,5.75,4.78,4.76,4,0.11,0,1.82,0.6644135,0.71881306,0.6453692,0.6987579
alcohol,wine,N,7.42,4.76,4.79,4,0.11,0,1.53,0.5663654,0.6001068,0.5641874,0.60475725
nose,mouth,N,3.73,4.89,4.74,4,0.11,0,1.5,0.73983383,0.74357057,0.72475505,0.7276331
street,car,N,2.38,4.75,4.89,4,0.11,0,1.16,0.5628842,0.4641525,0.5210656,0.46217394
bell,door,N,2.2,4.96,4.81,4,0.11,0,1.46,0.5439713,0.6101788,0.5528866,0.5604167
box,hat,N,1.3,4.9,4.88,4,0.11,0,1.15,0.5153193,0.4037626,0.4871715,0.34651232
belief,impression,N,5.95,1.19,2.23,1,0.1,0,0.72,0.5327276,0.4832649,0.5026002,0.47903022
bias,opinion,N,5.6,1.68,1.93,1,0.1,0,1.16,0.4289822,0.4640164,0.41772452,0.47465575
attention,awareness,N,8.73,2.3,1.84,1,0.1,0,1.64,0.5780874,0.5297494,0.5276749,0.504199
anger,mood,N,4.1,2.41,1.75,1,0.1,0,1.87,0.43966565,0.3804181,0.41414413,0.38311157
elegance,style,N,5.72,2.18,2.67,1,0.1,0,1.76,0.32903138,0.3431639,0.32581794,0.33318627
beauty,age,N,1.58,2.93,2.86,2,0.1,0,1.54,0.10375751,0.102299005,0.10149543,0.13852364
book,theme,N,2.58,4.9,2.72,3,0.1,0,0.81,0.5037822,0.51975465,0.44036862,0.49543014
friend,mother,N,2.53,3.07,4.6,3,0.1,0,1.54,0.5825735,0.59504384,0.54258907,0.56721276
vitamin,iron,N,5.55,4.48,4.59,3,0.1,0,1.14,0.4704553,0.48663783,0.41252244,0.45199004
car,factory,N,2.75,4.89,4.76,4,0.1,0,1.43,0.65706635,0.70487654,0.65010214,0.7258828
pact,condition,N,2.45,2.52,2.15,1,0,0,1.59,0.3155438,0.23568429,0.32777226,0.29150307
chapter,choice,N,0.48,3.43,1.9,2,0,0,0.86,0.14085574,0.09368148,0.1370467,0.08552111
arithmetic,rhythm,N,2.35,2.74,3.07,2,0,0,2.08,0.3416504,0.30409977,0.37945527,0.24905005
winner,presence,N,1.08,3.21,2.72,2,0,0,1.12,-0.021001348,-0.23593286,0.033293545,-0.23513998
belief,flower,N,0.4,1.19,5,2,0,0,1.19,0.22060595,0.12443211,0.23183548,0.117503434
winner,goal,N,3.23,3.21,3.06,2,0,0,1.67,0.5591693,0.5004747,0.55481064,0.46446416
trick,size,N,0.48,3.36,3.13,2,0,0,0.59,0.2438519,0.1317657,0.26496065,0.08716062
choice,vein,N,0.98,1.9,4.63,2,0,0,1.11,0.20301735,0.16100034,0.24207841,0.075526506
hymn,conquest,N,0.68,4.04,2.54,2,0,0,0.88,0.14054754,0.046267007,0.06400237,0.027482605
endurance,band,N,0.4,2,4.68,2,0,0,0.44,0.060368743,0.008130835,0.048022963,-0.04459079
jail,choice,N,1.08,4.83,1.9,2,0,0,1.08,0.14693506,0.08968294,0.11167533,0.03544584
condition,boy,N,0.48,2.15,4.76,2,0,0,0.8,0.3840013,0.27136487,0.3485161,0.2674076
flower,endurance,N,0.4,5,2,2,0,0,1.7,0.32154378,0.20791946,0.34557498,0.17340702
hole,agreement,N,0.3,4.81,2.22,2,0,0,1.72,0.14831568,-0.003390671,0.11921721,0.0024577342
doctor,temper,N,0.48,4.69,2.56,2,0,0,1.44,0.33035997,0.43469262,0.38256127,0.40152514
fraternity,door,N,0.68,2.46,4.81,2,0,0,0.94,0.1555828,0.11444306,0.11671427,0.06751059
task,woman,N,0.68,2.84,4.46,2,0,0,0.34,0.40622312,0.15733217,0.373544,0.13515805
fraternity,baseball,N,0.88,2.46,4.86,2,0,0,0.98,0.2631154,0.3369398,0.34023073,0.2813049
cent,size,N,0.4,4.19,3.13,2,0,0,1.24,0.34363207,0.29743108,0.27702713,0.27364916
presence,door,N,0.48,2.72,4.81,3,0,0,0.83,0.1535688,0.0192015,0.17363904,0.06541473
mouse,management,N,0.48,4.83,2.72,3,0,0,1.59,0.314058,0.15120892,0.29839617,0.15213923
task,highway,N,0.48,2.84,4.72,3,0,0,1.34,0.26414463,0.16427164,0.2556788,0.14040881
liquor,century,N,0.4,4.73,2.83,3,0,0,1.31,0.10415618,-0.027647447,0.041701403,-0.015522827
task,straw,N,0.68,2.84,4.77,3,0,0,1.53,0.18432622,0.16932042,0.26373422,0.2083457
island,task,N,0.3,4.96,2.84,3,0,0,0.96,0.23670603,0.085187376,0.27474752,0.0956767
night,chapter,N,0.48,4.52,3.43,3,0,0,0.92,0.15900828,0.09470832,0.1710592,0.07079014
pollution,president,N,0.68,3.75,4.4,3,0,0,1.6,-0.14862947,-0.15430816,-0.102839954,-0.11043494
gun,trick,N,0.48,4.83,3.36,3,0,0,1.41,0.4544202,0.35800722,0.46046597,0.29115078
bath,trick,N,0.58,4.85,3.36,3,0,0,1.28,0.5510247,0.41386107,0.52346015,0.41878152
diet,apple,N,1.18,3.21,5,3,0,0,1.56,0.3632879,0.426675,0.34567478,0.40424848
cent,wife,N,0.58,4.19,4.13,3,0,0,1.7,0.26923925,0.27402177,0.24970819,0.23400374
chapter,tail,N,0.3,3.43,4.96,3,0,0,1.57,0.11556855,-0.0835712,0.050726417,-0.077590056
course,stomach,N,0.58,3.82,4.89,3,0,0,0.87,0.2784582,0.09811661,0.20439756,0.119917445
hymn,straw,N,0.4,4.04,4.77,3,0,0,1.64,0.28168505,0.13031408,0.4246456,0.1566451
